date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:34:34	199/199	---M--	403	error ('Forbidden')	text/html	date:Tue,%2009%20Nov%202021%2010:04:33%20GMT	https://www.idf.org/robots.txt		(from )
15:34:35	55013/55013	---M-Z	200	added ('OK')	text/html	date:Tue,%2009%20Nov%202021%2010:04:33%20GMT	https://www.idf.org/type-2-diabetes-risk-assessment/	C:/My%20Web%20Sites/diabetes/www.idf.org/type-2-diabetes-risk-assessment/index.html	(from )
15:34:36	894/894	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%2237e-5b6f8a1b64b00%22	https://www.idf.org/type-2-diabetes-risk-assessment/favicon.ico	C:/My%20Web%20Sites/diabetes/www.idf.org/type-2-diabetes-risk-assessment/favicon.ico	(from https://www.idf.org/type-2-diabetes-risk-assessment/)
15:34:36	2030/2030	---M--	200	added ('OK')	text/css	etag:%227ee-5b6f8a24741c2%22	https://www.idf.org/type-2-diabetes-risk-assessment/blipire/wp-content/themes/risk-assessment/reset.min.css	C:/My%20Web%20Sites/diabetes/www.idf.org/type-2-diabetes-risk-assessment/blipire/wp-content/themes/risk-assessment/reset.min.css	(from https://www.idf.org/type-2-diabetes-risk-assessment/)
15:34:36	14400/14400	---M--	200	added ('OK')	text/css	etag:%223840-5b6f8a245e9ff%22	https://www.idf.org/type-2-diabetes-risk-assessment/blipire/wp-content/themes/risk-assessment/style.css	C:/My%20Web%20Sites/diabetes/www.idf.org/type-2-diabetes-risk-assessment/blipire/wp-content/themes/risk-assessment/style.css	(from https://www.idf.org/type-2-diabetes-risk-assessment/)
15:34:37	6138/6138	---M--	200	added ('OK')	application/javascript	etag:%2217fa-5b6f8a24676a0%22	https://www.idf.org/type-2-diabetes-risk-assessment/blipire/wp-content/themes/risk-assessment/_/js/prefixfree.min.js	C:/My%20Web%20Sites/diabetes/www.idf.org/type-2-diabetes-risk-assessment/blipire/wp-content/themes/risk-assessment/_/js/prefixfree.min.js	(from https://www.idf.org/type-2-diabetes-risk-assessment/)
15:34:37	14295/14295	---M--	200	added ('OK')	application/javascript	etag:%2237d7-5b6f8a24676a0%22	https://www.idf.org/type-2-diabetes-risk-assessment/blipire/wp-content/themes/risk-assessment/_/js/modernizr.min.js	C:/My%20Web%20Sites/diabetes/www.idf.org/type-2-diabetes-risk-assessment/blipire/wp-content/themes/risk-assessment/_/js/modernizr.min.js	(from https://www.idf.org/type-2-diabetes-risk-assessment/)
15:34:37	42/42	---MC-	405	error ('Method%20Not%20Allowed')	text/plain	date:Tue,%2009%20Nov%202021%2010:04:37%20GMT	https://www.idf.org/type-2-diabetes-risk-assessment/blipire/xmlrpc.php	C:/My%20Web%20Sites/diabetes/www.idf.org/type-2-diabetes-risk-assessment/blipire/xmlrpc.php	(from https://www.idf.org/type-2-diabetes-risk-assessment/)
15:34:38	51338/51338	---M--	200	added ('OK')	text/css	etag:%22c88a-5bbf2b2b5f35e%22	https://www.idf.org/type-2-diabetes-risk-assessment/blipire/wp-includes/css/dist/block-library/style.min.css?ver=5.6.5	C:/My%20Web%20Sites/diabetes/www.idf.org/type-2-diabetes-risk-assessment/blipire/wp-includes/css/dist/block-library/style.min9d3a.css	(from https://www.idf.org/type-2-diabetes-risk-assessment/)
15:34:38	1617/1617	---MC-	200	added ('OK')	application/rss+xml	etag:%22038ba2fc9e067d877b23eda30c1bd100%22	https://www.idf.org/type-2-diabetes-risk-assessment/feed/	C:/My%20Web%20Sites/diabetes/www.idf.org/type-2-diabetes-risk-assessment/feed/index.html	(from https://www.idf.org/type-2-diabetes-risk-assessment/)
15:34:38	96381/96381	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/1.11.0/jquery.min.js?ver=5.6.5	C:/My%20Web%20Sites/diabetes/ajax.googleapis.com/ajax/libs/jquery/1.11.0/jquery.min9d3a.js	(from https://www.idf.org/type-2-diabetes-risk-assessment/)
15:34:39	841/841	---MC-	200	added ('OK')	application/rss+xml	etag:%229668502c1159d9549fad3ca2b3dced97%22	https://www.idf.org/type-2-diabetes-risk-assessment/comments/feed/	C:/My%20Web%20Sites/diabetes/www.idf.org/type-2-diabetes-risk-assessment/comments/feed/index.html	(from https://www.idf.org/type-2-diabetes-risk-assessment/)
15:34:39	2848/2848	---MC-	200	added ('OK')	application/json	date:Tue,%2009%20Nov%202021%2010:04:38%20GMT	https://www.idf.org/type-2-diabetes-risk-assessment/wp-json/wp/v2/pages/2	C:/My%20Web%20Sites/diabetes/www.idf.org/type-2-diabetes-risk-assessment/wp-json/wp/v2/pages/2.json	(from https://www.idf.org/type-2-diabetes-risk-assessment/)
15:34:39	1004/1004	---MC-	200	added ('OK')	text/xml	date:Tue,%2009%20Nov%202021%2010:04:39%20GMT	https://www.idf.org/type-2-diabetes-risk-assessment/blipire/xmlrpc.php?rsd	C:/My%20Web%20Sites/diabetes/www.idf.org/type-2-diabetes-risk-assessment/blipire/xmlrpc0db0.php	(from https://www.idf.org/type-2-diabetes-risk-assessment/)
15:34:40	802/802	---MC-	200	added ('OK')	application/rss+xml	etag:%225cbcc1920e59c20c111e4377dcfca6c6%22	https://www.idf.org/type-2-diabetes-risk-assessment/sample-page/feed/	C:/My%20Web%20Sites/diabetes/www.idf.org/type-2-diabetes-risk-assessment/sample-page/feed/index.html	(from https://www.idf.org/type-2-diabetes-risk-assessment/)
15:34:40	1045/1045	---M--	200	added ('OK')	application/xml	etag:%22415-5b6f8a23dac8b%22	https://www.idf.org/type-2-diabetes-risk-assessment/blipire/wp-includes/wlwmanifest.xml	C:/My%20Web%20Sites/diabetes/www.idf.org/type-2-diabetes-risk-assessment/blipire/wp-includes/wlwmanifest.xml	(from https://www.idf.org/type-2-diabetes-risk-assessment/)
15:34:40	94896/94896	---MC-	200	added ('OK')	application/json	date:Tue,%2009%20Nov%202021%2010:04:39%20GMT	https://www.idf.org/type-2-diabetes-risk-assessment/wp-json/	C:/My%20Web%20Sites/diabetes/www.idf.org/type-2-diabetes-risk-assessment/wp-json/index.html	(from https://www.idf.org/type-2-diabetes-risk-assessment/)
15:34:41	2421/2421	---MC-	200	added ('OK')	application/json	date:Tue,%2009%20Nov%202021%2010:04:39%20GMT	https://www.idf.org/type-2-diabetes-risk-assessment/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.idf.org%2Ftype-2-diabetes-risk-assessment%2F	C:/My%20Web%20Sites/diabetes/www.idf.org/type-2-diabetes-risk-assessment/wp-json/oembed/1.0/embed3810.json	(from https://www.idf.org/type-2-diabetes-risk-assessment/)
